Timestamp,Spotter,To_Station,Frequency_MHz
2026-03-28T22:57:28.530301+00:00,K6MTU,NR0Q,21317.0
2026-03-28T22:57:38.394929+00:00,VE4DL,K1AR,14273.0
2026-03-28T22:57:40.597614+00:00,K9XN,LT6T,28395.0
2026-03-28T22:57:41.799227+00:00,KX7M,NR6O,28446.4
2026-03-28T22:57:44.403287+00:00,KC3ZQB,AA5OX,28640.0
2026-03-28T22:57:46.921414+00:00,DA2X,Z32TO,7087.6
2026-03-28T22:57:48.719760+00:00,OK2IOZ,FY5KE,7188.2
2026-03-28T22:57:48.906637+00:00,OE3MZC,DL1YEG,1922.0
2026-03-28T22:57:49.096710+00:00,K5PAR,NN3W,14278.7
2026-03-28T22:57:49.852834+00:00,K0CN,CA6SNT,28597.0
2026-03-28T22:57:50.569071+00:00,KD3CCN,WS7X,21327.0
2026-03-28T22:57:52.240175+00:00,LX1ER,OR7K,1856.1
2026-03-28T22:57:53.562038+00:00,S57Z,S53F,1867.0
2026-03-28T22:57:53.895071+00:00,LU1AEE,CA1OGG,28338.0
2026-03-28T22:57:54.344271+00:00,K9CT,II8K,14216.2
2026-03-28T22:57:55.875310+00:00,CT2IQK,IO9R,3702.5
2026-03-28T22:58:00.082524+00:00,HJ3DAG,VK9DX,28512.0
2026-03-28T22:58:03.602576+00:00,KC7H,PV2G,28362.0
2026-03-28T22:58:05.645442+00:00,W7ZR,JS1AAF,28309.5
2026-03-28T22:58:06.974679+00:00,W7VO,PY2HT,28540.0
2026-03-28T22:58:07.665711+00:00,EA1FW,NT4XF,14307.5
2026-03-28T22:58:11.830090+00:00,VE9VIC,N4AF,7024.9
2026-03-28T22:58:14.104144+00:00,AC1MT,HK1O,28559.9
2026-03-28T22:58:15.542372+00:00,K6DAV,BY4SZ,21405.0
2026-03-28T22:58:28.242859+00:00,KN4UOW,IB9T,14262.0
2026-03-28T22:58:28.870999+00:00,F1FCA,SP8R,7193.7
2026-03-28T22:58:29.327683+00:00,VE4DL,NN3W,14278.7
2026-03-28T22:58:32.486985+00:00,PE1EWR,LY7J,7138.0
2026-03-28T22:58:35.565324+00:00,CT2IQK,IB4X,3718.0
2026-03-28T22:58:42.085964+00:00,AF0F,TI7W,21289.4
2026-03-28T22:58:45.796040+00:00,K7WXB,NN3W,28402.0
2026-03-28T22:58:46.381221+00:00,W1SAV,AK0A,14061.5
2026-03-28T22:58:49.461198+00:00,WW3S,CA1OGG,28338.0
2026-03-28T22:58:50.111783+00:00,N3KN,AD4TR,14206.5
2026-03-28T22:58:51.443845+00:00,DA2X,YO3KRM,7097.6
2026-03-28T22:58:52.358435+00:00,YB1RGK,7A1A,3850.0
2026-03-28T22:58:53.624249+00:00,WB7PMP,VK4A,28470.0
2026-03-28T22:58:54.146437+00:00,KJ4LEN,3G3W,21238.0
2026-03-28T22:59:03.724720+00:00,W3OU,TI1K,21233.0
2026-03-28T22:59:06.597047+00:00,LW7ENO,LT1E,21217.0
2026-03-28T22:59:09.139750+00:00,W3ACO,N0GJW,21380.8
2026-03-28T22:59:11.671303+00:00,LU1AEE,KW7MM,28335.0
2026-03-28T22:59:15.556536+00:00,K2RET,CG3T,14156.4
2026-03-28T22:59:17.155153+00:00,N8WCP,PP5DZ,28380.0
2026-03-28T22:59:19.083465+00:00,AF0F,NR7DX,21299.0
2026-03-28T22:59:22.692840+00:00,CT2IQK,9A2L,3727.5
2026-03-28T22:59:24.163011+00:00,PU1WZY,NH7T,28415.0
2026-03-28T22:59:27.259934+00:00,VA3CRL,P49Y,21396.4
2026-03-28T22:59:28.755120+00:00,W3ETO,PV2G,28362.0
2026-03-28T22:59:35.114375+00:00,CV6T,4U1WB,14327.0
2026-03-28T22:59:36.395811+00:00,PE1EWR,S51CK,7141.3
2026-03-28T22:59:38.336085+00:00,W4DQ,HD8R,28448.3
2026-03-28T22:59:44.003530+00:00,KC8QCT-31,LU1DK,21443.0
2026-03-28T22:59:44.656916+00:00,DK1IP,E79Q,7087.1
2026-03-28T22:59:56.379980+00:00,VE5MX,WV4P,21330.5
2026-03-28T22:59:58.857312+00:00,LY7K,K1LZ,7148.8
2026-03-28T22:59:59.761329+00:00,F5MMX,EI9E,3768.2
2026-03-28T22:59:59.945557+00:00,CT2IQK,9A6K,3730.2
2026-03-28T23:00:04.982691+00:00,W5MX,N7AGP,21379.4
2026-03-28T23:00:09.929113+00:00,RM3DA,DJ7YP,7093.2
2026-03-28T23:00:10.651624+00:00,W5MX,PW2K,21377.1
2026-03-28T23:00:13.279772+00:00,VA3OKG,W1RCR,28348.1
2026-03-28T23:00:22.010606+00:00,SM2M,VE6TY,14236.1
2026-03-28T23:00:23.912000+00:00,VE7SAR,IO9A,14290.0
2026-03-28T23:00:24.180619+00:00,K7AKT,WZ4F,21438.5
2026-03-28T23:00:26.558289+00:00,N3KN,ZZ3M,14213.0
2026-03-28T23:00:29.708137+00:00,PE1EWR,IP9C,7144.0
2026-03-28T23:00:31.144095+00:00,I2WIJ,CR3A,14349.0
2026-03-28T23:00:34.796362+00:00,KN4UOW,LZ5R,14284.0
2026-03-28T23:00:38.197381+00:00,PY1CD,KW7MM,28335.0
2026-03-28T23:00:39.934807+00:00,W9KEY,P49Y,21396.4
2026-03-28T23:00:42.346763+00:00,IU7TWP,DL6RY,7110.0
2026-03-28T23:00:43.759785+00:00,WB7PMP,VJ2X,28452.0
2026-03-28T23:00:45.277856+00:00,HB9DVH,CF3A,14127.5
2026-03-28T23:00:46.096985+00:00,N4CF,OM7M,7157.9
2026-03-28T23:00:46.399485+00:00,DC4HF,IP0A,7131.0
2026-03-28T23:00:46.690663+00:00,K5PAR,4U1WB,14327.0
2026-03-28T23:00:53.098707+00:00,S57UN,FM8QR,14138.7
2026-03-28T23:00:56.303331+00:00,KI5UWK,VJ2X,28452.0
2026-03-28T23:00:57.370684+00:00,CT2IQK,SN9B,3735.2
2026-03-28T23:00:58.250896+00:00,W7XE-11,V4/SP9FIH,28425.0
2026-03-28T23:01:05.862173+00:00,AC1MT,HI3LT,28410.9
2026-03-28T23:01:06.629065+00:00,DL9DU,RU1A,3723.0
2026-03-28T23:01:06.809421+00:00,SV3SKQ,CN3A,14311.0
2026-03-28T23:01:09.646269+00:00,HJ6MR,HK4TK,28660.0
2026-03-28T23:01:10.307924+00:00,W6MX,JH7QXJ,21339.7
2026-03-28T23:01:15.964994+00:00,9W8ZZK,N6TQ,28481.0
